# Generated by android/classify/tools/gen_unicode_tables.py: Joining_Type L/D/R/T ranges and virama (ccc=9) code points for CONTEXTJ. Do not edit.
# Unicode data (c) Unicode, Inc., Unicode License v3: https://www.unicode.org/license.txt
# Source: DerivedJoiningType.txt 17.0.0 sha256=f39ebe974825d6736aee15582250307aa532b2cfab3caf3f86bd23fddc9c5c4d
# Source: DerivedCombiningClass.txt 17.0.0 sha256=191463abfbd202703c6fd6776a92a23ac44ec65e0476a7f95aa91ca492cef29b
J AD AD T
J 300 36F T
J 483 489 T
J 591 5BD T
J 5BF 5BF T
J 5C1 5C2 T
J 5C4 5C5 T
J 5C7 5C7 T
J 610 61A T
J 61C 61C T
J 620 620 D
J 622 625 R
J 626 626 D
J 627 627 R
J 628 628 D
J 629 629 R
J 62A 62E D
J 62F 632 R
J 633 63F D
J 641 647 D
J 648 648 R
J 649 64A D
J 64B 65F T
J 66E 66F D
J 670 670 T
J 671 673 R
J 675 677 R
J 678 687 D
J 688 699 R
J 69A 6BF D
J 6C0 6C0 R
J 6C1 6C2 D
J 6C3 6CB R
J 6CC 6CC D
J 6CD 6CD R
J 6CE 6CE D
J 6CF 6CF R
J 6D0 6D1 D
J 6D2 6D3 R
J 6D5 6D5 R
J 6D6 6DC T
J 6DF 6E4 T
J 6E7 6E8 T
J 6EA 6ED T
J 6EE 6EF R
J 6FA 6FC D
J 6FF 6FF D
J 70F 70F T
J 710 710 R
J 711 711 T
J 712 714 D
J 715 719 R
J 71A 71D D
J 71E 71E R
J 71F 727 D
J 728 728 R
J 729 729 D
J 72A 72A R
J 72B 72B D
J 72C 72C R
J 72D 72E D
J 72F 72F R
J 730 74A T
J 74D 74D R
J 74E 758 D
J 759 75B R
J 75C 76A D
J 76B 76C R
J 76D 770 D
J 771 771 R
J 772 772 D
J 773 774 R
J 775 777 D
J 778 779 R
J 77A 77F D
J 7A6 7B0 T
J 7CA 7EA D
J 7EB 7F3 T
J 7FD 7FD T
J 816 819 T
J 81B 823 T
J 825 827 T
J 829 82D T
J 840 840 R
J 841 845 D
J 846 847 R
J 848 848 D
J 849 849 R
J 84A 853 D
J 854 854 R
J 855 855 D
J 856 858 R
J 859 85B T
J 860 860 D
J 862 865 D
J 867 867 R
J 868 868 D
J 869 86A R
J 870 882 R
J 886 886 D
J 889 88D D
J 88E 88E R
J 88F 88F D
J 897 89F T
J 8A0 8A9 D
J 8AA 8AC R
J 8AE 8AE R
J 8AF 8B0 D
J 8B1 8B2 R
J 8B3 8B8 D
J 8B9 8B9 R
J 8BA 8C8 D
J 8CA 8E1 T
J 8E3 902 T
J 93A 93A T
J 93C 93C T
J 941 948 T
J 94D 94D T
J 951 957 T
J 962 963 T
J 981 981 T
J 9BC 9BC T
J 9C1 9C4 T
J 9CD 9CD T
J 9E2 9E3 T
J 9FE 9FE T
J A01 A02 T
J A3C A3C T
J A41 A42 T
J A47 A48 T
J A4B A4D T
J A51 A51 T
J A70 A71 T
J A75 A75 T
J A81 A82 T
J ABC ABC T
J AC1 AC5 T
J AC7 AC8 T
J ACD ACD T
J AE2 AE3 T
J AFA AFF T
J B01 B01 T
J B3C B3C T
J B3F B3F T
J B41 B44 T
J B4D B4D T
J B55 B56 T
J B62 B63 T
J B82 B82 T
J BC0 BC0 T
J BCD BCD T
J C00 C00 T
J C04 C04 T
J C3C C3C T
J C3E C40 T
J C46 C48 T
J C4A C4D T
J C55 C56 T
J C62 C63 T
J C81 C81 T
J CBC CBC T
J CBF CBF T
J CC6 CC6 T
J CCC CCD T
J CE2 CE3 T
J D00 D01 T
J D3B D3C T
J D41 D44 T
J D4D D4D T
J D62 D63 T
J D81 D81 T
J DCA DCA T
J DD2 DD4 T
J DD6 DD6 T
J E31 E31 T
J E34 E3A T
J E47 E4E T
J EB1 EB1 T
J EB4 EBC T
J EC8 ECE T
J F18 F19 T
J F35 F35 T
J F37 F37 T
J F39 F39 T
J F71 F7E T
J F80 F84 T
J F86 F87 T
J F8D F97 T
J F99 FBC T
J FC6 FC6 T
J 102D 1030 T
J 1032 1037 T
J 1039 103A T
J 103D 103E T
J 1058 1059 T
J 105E 1060 T
J 1071 1074 T
J 1082 1082 T
J 1085 1086 T
J 108D 108D T
J 109D 109D T
J 135D 135F T
J 1712 1714 T
J 1732 1733 T
J 1752 1753 T
J 1772 1773 T
J 17B4 17B5 T
J 17B7 17BD T
J 17C6 17C6 T
J 17C9 17D3 T
J 17DD 17DD T
J 1807 1807 D
J 180B 180D T
J 180F 180F T
J 1820 1878 D
J 1885 1886 T
