# India: fake credit alerts and "return it" follow-ups, UPI PIN / collect bait, KYC / PAN / Aadhaar scares,
# electricity, parcels, tax refunds, jobs, loans, lotteries, digital arrest, sextortion, look-alike links; and the
# genuine DLT-header alerts, OTPs and updates they imitate (which must NOT be flagged).
# Format and expectations: README.md in this folder. Columns are TAB-separated.
#! region=IN
# id	sender	expect	tags	body

# ---------------------------------------------------------------- fake credit alerts from mobile numbers (detector)
in-fc-01	+919876512301	likely-scam,reason:phone-credit-alert,scam	fake-credit	Rs.25,000.00 credited to your A/c XX4321 on 23-09-26 by IMPS Ref 623451789012. Avl Bal Rs.25,340.50 -SBI
in-fc-02	+919876512301	likely-scam,reason:return-request,reason:follow-up	fake-credit,follow-up,hinglish,after:in-fc-01	Bhaiya maine galti se aapke account me 25000 bhej diye, please wapas kar do. Mera beta hospital me hai 🙏 isi number pe GPay kar do
in-fc-03	9876512303	likely-scam,scam	fake-credit,hindi,known-gap	प्रिय ग्राहक, आपके खाते XX7788 में ₹15,000.00 जमा किए गए हैं। संदर्भ 624512345678 - पंजाब नेशनल बैंक
in-fc-04	9876512303	likely-scam,reason:return-request	fake-credit,follow-up,hindi,after:in-fc-03	भाई साहब मैंने गलती से आपके खाते में 15000 भेज दिए, कृपया वापस कर दीजिए। बहुत जरूरी है।
in-fc-05	+919876512305	likely-scam	fake-credit	Dear Customer, INR 49,500.00 has been credited to your HDFC Bank a/c **9012 by NEFT from ANIL TRADERS. If not yours, please return to 9876512305. -HDFC Bank
in-fc-06	+919876512306	likely-scam,reason:phone-debit-alert	fake-debit,callback	Your SBI A/c XX2210 is debited Rs 49,999.00 on 23-09-26 for online purchase. If not done by you call 8765432109 immediately to block your card.
in-fc-07	+919876512307	suspicious,reason:return-request	return-request	Sir I sent Rs 3000 to your number by mistake on Paytm, please return it. I am a poor student.
in-fc-08	+919876512308	fake-credit,reason:payment-handle	return-request,hinglish,vpa	Sir galti se 5000 rupaye aapke UPI me chale gaye. Please ravi.k2291@ybl pe wapas bhej do, aapki badi meherbani hogi
in-fc-09	+919876512309	fake-credit,scam	fake-credit,screenshot	Rs 10,000 transferred to your a/c XX5566 successfully. Payment screenshot sent on WhatsApp. Kindly check and send the balance Rs 2,000 back to me.
in-fc-10	+919876512310	likely-scam	fake-credit	Rs 8,000.00 credited to your A/c XX6612 by UPI Ref 626512347777. Avl Bal Rs 8,450.00 -Canara Bank
in-fc-11	+919876512310	likely-scam,reason:follow-up,reason:return-request	fake-credit,follow-up,hinglish,after:in-fc-10	Sir galti se 8000 bhej diye aapko, wapas kar do plz. Urgent hai

# ---------------------------------------------------------------- fake credit alerts from spoofed / wrong-route headers
in-hdr-01	HDFC-BANK	likely-scam,reason:lookalike-sender	fake-credit,lookalike-header	Rs 20,000.00 credited to a/c XX1188 on 23-09-26 via IMPS. Avl bal Rs 20,410.00. Not you? Call 9876512311
in-hdr-02	VK-HDFCBK-P	fake-credit,reason:promotional-route	fake-credit,promo-route	INR 12,500.00 credited to A/c XX3321 on 23-SEP-26. Info: IMPS/P2A/626612345678. Avl Bal INR 13,020.55
in-hdr-03	VM-\u041DDFCBK-S	likely-scam,sender-spoof,reason:lookalike-sender	fake-credit,homograph-sender,cyrillic	Rs 30,000.00 credited to A/c XX4411 on 23-09-26. Ref 626699887766. Avl Bal Rs 31,200.00
in-hdr-04	HDFCBK	fake-credit	fake-credit,unprefixed-header	INR 49,500.00 credited to A/c XX9012 on 23-09-26. Info: IMPS/P2A/626612345678/RAHUL. Avl bal INR 50,112.00. Wrongly credited? Please return to 9876512314
in-hdr-05	AD-QUIKPY-S	fake-credit	fake-credit,unknown-header	Dear Customer, Rs 7,500 credited to your ICICI Bank A/c XX2020 as cashback. Call 9876512315 if not received.

# ---------------------------------------------------------------- UPI PIN / collect bait (a PIN is only ever needed to PAY)
in-upi-01	+919876512321	likely-scam,reason:pin-to-receive,scam	pin-to-receive	Congratulations! You have received Rs 2,000 cashback from PhonePe. Enter your UPI PIN to receive the amount in your bank account.
in-upi-02	+919876512322	likely-scam,reason:pin-to-receive	pin-to-receive,olx	Hi, I am interested in your sofa on OLX. I have sent you a QR code on WhatsApp, scan it and enter UPI PIN to receive Rs 18,500 advance.
in-upi-03	+919876512323	fake-credit,reason:collect-request,scam	collect,upi-link,hinglish	Aapko Rs 5,000 ka refund mila hai. Payment request approve karein to receive money: upi://pay?pa=refund.desk@ybl&am=5000
in-upi-04	+919876512324	fake-credit,scam	collect	You have won Rs 1,500 Google Pay reward! Tap Accept on the payment request in your GPay app to get it credited instantly.
in-upi-05	+919876512325	scam	pin-to-receive,hindi	बधाई हो! आपको ₹5,000 का कैशबैक मिला है। राशि पाने के लिए अपना यूपीआई पिन डालें।

# ---------------------------------------------------------------- KYC / PAN / Aadhaar / SIM
in-kyc-01	+919876512331	scam,link-warning	kyc	Dear SBI customer, your YONO account will be blocked today. Update your PAN immediately: https://sbi-yono-kyc.xyz/update
in-kyc-02	9876512332	scam,link-warning	kyc,hinglish	Aapka bank khata aaj band ho jayega. Turant KYC update karein: bit.ly/kyc-upd8
in-kyc-03	+919876512333	scam,link-warning	aadhaar	UIDAI: Your Aadhaar-linked mobile number will be deactivated in 24 hrs. Re-verify now at http://uidai-verify.top/a
in-kyc-04	AB-KYCUPD	scam,lookalike,link-warning	kyc,lookalike-domain	HDFC Bank: Your NetBanking is suspended as PAN is not linked. Reactivate: https://hdfcbank.com.kyc-verify.in/login
in-kyc-05	+919876512335	scam	sim-swap,esim	Airtel: Your SIM will be blocked in 2 hours due to KYC failure. To keep your number active, call 9876512399 and share the eSIM activation code sent to you.
in-kyc-06	+919876512336	scam,link-warning	fastag,kyc	FASTag KYC expired. Your tag will be blacklisted today and toll will be charged double. Update KYC: bit.ly/fastag-kyc9
in-kyc-07	+919876512337	scam,link-warning	govt-scheme,hinglish	PM Kisan: Rs 6,000 ki agli kist aapke khate me jama hogi. Pehle e-KYC karein: https://pmkisan-ekyc.top/in

# ---------------------------------------------------------------- electricity / utilities
in-elec-01	9876512341	scam	electricity	Dear Consumer your electricity power will be disconnected tonight at 9.30 pm because your previous month bill was not updated. Please immediately contact our electricity officer 9876512342
in-elec-02	9876512343	scam	electricity,hindi,known-gap	प्रिय उपभोक्ता, आपका बिजली कनेक्शन आज रात 9:30 बजे काट दिया जाएगा क्योंकि पिछले महीने का बिल अपडेट नहीं है। तुरंत बिजली अधिकारी से संपर्क करें 9876512344
in-elec-03	+919876512345	scam	gas	Dear customer, your gas connection will be disconnected today due to pending KYC and bill payment. Contact gas officer on 9876512346.

# ---------------------------------------------------------------- parcels / customs / delivery reschedule
in-pkg-01	+919876512351	scam,lookalike,link-warning	parcel,indiapost	India Post: Your parcel is held at our warehouse due to incomplete address. Update within 12 hours: https://indiapost-redelivery.top/in
in-pkg-02	+919876512352	scam,link-warning	customs	FedEx: Your international shipment is on hold at customs. Pay customs duty Rs 1,450 to release: fedex-in-customs.info/pay
in-pkg-03	+919876512353	scam,lookalike	delivery-reschedule	Delhivery: We missed you! Reschedule your delivery for Rs 5 at https://delhivery-resched.top/r

# ---------------------------------------------------------------- tax refund / challan / reward points
in-tax-01	+919876512361	scam	tax-refund	Income Tax Dept: You are eligible for a refund of Rs 15,490. Submit your bank account details to receive it: https://incometax-refund.in.net/verify
in-tax-02	+919876512362	scam,link-warning	challan	Parivahan: Your vehicle challan of Rs 500 is pending. Pay within 24 hrs to avoid court action: https://echallan-parivahan.xyz
in-tax-03	+919876512363	scam,link-warning	reward-points	Dear SBI Card holder, your reward points worth Rs 7,250 expire today. Redeem now: bit.ly/sbi-rwd7

# ---------------------------------------------------------------- jobs / tasks / loans / investments
in-job-01	+919876512371	scam	job	Hi, I'm Priya from Amazon HR. Part-time job: earn Rs 5000-8000/day liking YouTube videos. Contact on WhatsApp: wa.me/919876512372
in-job-02	+919876512373	scam	task-scam,known-gap	Your task commission Rs 12,450 is frozen. Deposit Rs 5,000 to unlock and withdraw. Contact your mentor on Telegram @taskmentor_22
in-loan-01	+919876512374	scam	loan-app	Instant loan of Rs 50,000 approved without CIBIL check! Download app: https://quickcash-loan.app/apk
in-loan-02	+919876512375	scam	loan-extortion,known-gap	You have not repaid your loan. Pay Rs 8,400 today or we will send your morphed photos to all your contacts.
in-inv-01	+919876512376	scam	investment,stock-tips	Join our VIP stock tips group. 300% returns guaranteed in 30 days. WhatsApp: wa.me/919876512377
in-inv-02	+919876512378	scam	crypto,known-gap	Your USDT wallet has 1,250 USDT pending withdrawal. Pay 10% tax (Rs 9,800) to release funds to your bank account today.

# ---------------------------------------------------------------- lottery / KBC
in-lot-01	+919876512381	scam	lottery,kbc	KBC Lottery: Your SIM no. has won Rs 25,00,000 in the KBC lucky draw. Call Rana Pratap Singh on WhatsApp +923001234567 to claim.
in-lot-02	+919876512382	scam	lottery,hinglish	Badhai ho! Aapka mobile number lucky draw me select hua hai. Rs 12 lakh jeetne ke liye processing fee Rs 4,500 bhejein.

# ---------------------------------------------------------------- digital arrest / sextortion / OTP sharing / wrong number
in-arrest-01	+919876512391	scam	digital-arrest	This is CBI Cyber Cell. A parcel in your name with 200g MDMA was seized at Mumbai airport. A case is registered against you. Call Inspector on 9876512392 immediately or you will be arrested.
in-sext-01	+919876512393	scam	sextortion	I have your private video. Pay Rs 20,000 to UPI babu.x77@ybl within 2 hours or it goes to all your Facebook friends.
in-otp-share-01	+919876512394	scam	otp-sharing,account-takeover,known-gap	Hi, I accidentally sent my WhatsApp verification code to your number. Can you please forward the 6 digit code to me? It's urgent.
in-otp-share-02	+919876512395	scam	otp-sharing,call-forwarding	Jio customer care: to avoid SIM deactivation dial *401*9876512396 now and restart your phone.
in-wrong-01	+919876512397	scam	wrong-number,pig-butchering,known-gap	Hi, is this Mr. Sharma? This is Anjali, we met at the Pune conference last month 😊 are you still in the stock market group?
in-apk-01	+919876512398	scam,link-warning	apk,wedding-invite,hinglish,known-gap	Shaadi ka card bheja hai, zaroor aana 🙏 dekh lo: https://wedding-card.example/invite.apk

# ---------------------------------------------------------------- BENIGN look-alikes: genuine alerts from verified DLT headers
in-ok-01	VM-HDFCBK-S	not-scam,no-link-warning,category:transaction,txn:debit,amount:2450.00	benign,bank-alert	Rs.2,450.00 debited from A/c **1234 on 23-09-26 to VPA swiggy@icici (UPI Ref No 626512345678). Not you? Call 18000000000 or SMS BLOCK 1234 to 9000000000
in-ok-02	AD-SBIINB-T	not-scam,category:transaction,txn:credit,amount:25000.00	benign,bank-alert	Dear Customer, Your A/c X5678 is credited by Rs.25,000.00 on 22Sep26 transfer from RAHUL KUMAR Ref No 426612345678 -SBI
